Title,Category,longitude,latitude
Accountants and Auditors,Accountants and Auditors,26.969055,25.576122
Actors,"Arts, Design, Entertainment, Sports, and Media",0.19377376,-4.8931794
Actuaries,Computer and Mathematical,-16.36994,-11.388207
Acupuncturists,Healthcare Practitioners and Technical,14.316347,-9.3664465
Acute Care Nurses,Healthcare Practitioners and Technical,23.843863,2.4871564
Adapted Physical Education Specialists,Educational Instruction and Library,5.5677724,-11.001733
Adhesive Bonding Machine Operators and Tenders,Production,-18.992502,15.041886
"Administrative Law Judges, Adjudicators, and Hearing Officers",Legal,-11.819974,-21.00964
Administrative Services Managers,Management,-17.165903,-8.392413
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Educational Instruction and Library,34.04043,0.30075583
Advanced Practice Psychiatric Nurses,Healthcare Practitioners and Technical,34.947006,-4.7983923
Advertising and Promotions Managers,Management,11.782837,19.000156
Advertising Sales Agents,Sales and Related,-17.436869,-6.8991013
Aerospace Engineering and Operations Technologists and Technicians,Architecture and Engineering,-30.69825,-15.760517
Aerospace Engineers,Architecture and Engineering,-3.8255298,4.3607726
"Agents and Business Managers of Artists, Performers, and Athletes",Accountants and Auditors,-22.921928,-22.798252
Agricultural Engineers,Architecture and Engineering,-16.972239,-16.917223
Agricultural Equipment Operators,"Farming, Fishing, and Forestry",-18.889076,9.024076
Agricultural Inspectors,"Farming, Fishing, and Forestry",-5.2663655,16.587402
"Agricultural Sciences Teachers, Postsecondary",Educational Instruction and Library,0.036843877,-16.086134
Agricultural Technicians,"Life, Physical, and Social Science",13.991175,17.244732
Air Traffic Controllers,Transportation and Material Moving,2.0625095,17.382969
Aircraft Cargo Handling Supervisors,Transportation and Material Moving,51.4961,-39.41889
Aircraft Mechanics and Service Technicians,"Installation, Maintenance, and Repair",23.750626,32.77906
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Production,19.737494,35.46976
Airfield Operations Specialists,Transportation and Material Moving,1.9292854,17.226576
"Airline Pilots, Copilots, and Flight Engineers",Transportation and Material Moving,3.4228323,18.34235
Allergists and Immunologists,Healthcare Practitioners and Technical,14.47913,-16.191511
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Transportation and Material Moving,-36.760784,-17.949114
Amusement and Recreation Attendants,Personal Care and Service,-11.53109,13.616634
Anesthesiologist Assistants,Healthcare Practitioners and Technical,12.024382,-13.451615
Anesthesiologists,Healthcare Practitioners and Technical,12.354278,-13.457962
Animal Breeders,"Farming, Fishing, and Forestry",-5.1437984,13.00879
Animal Caretakers,Personal Care and Service,-7.3053718,9.779239
Animal Control Workers,Protective Service,-18.892477,-10.857754
Animal Scientists,"Life, Physical, and Social Science",51.4961,-39.41889
Animal Trainers,Personal Care and Service,-6.080844,-19.357706
Anthropologists and Archeologists,"Life, Physical, and Social Science",24.293308,22.040419
"Anthropology and Archeology Teachers, Postsecondary",Educational Instruction and Library,3.4045398,-12.333485
Appraisers and Assessors of Real Estate,Accountants and Auditors,26.137291,24.7593
"Arbitrators, Mediators, and Conciliators",Legal,-1.4584943,-19.015177
"Architects, Except Landscape and Naval",Architecture and Engineering,1.6839492,-3.5797048
Architectural and Civil Drafters,Architecture and Engineering,22.236172,23.834595
Architectural and Engineering Managers,Management,-9.559412,-5.065865
"Architecture Teachers, Postsecondary",Educational Instruction and Library,-1.387359,-15.339822
Archivists,Educational Instruction and Library,-20.021112,-18.892998
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Educational Instruction and Library,1.3877524,-16.18288
Art Directors,"Arts, Design, Entertainment, Sports, and Media",-18.527615,-5.5409636
Art Therapists,Healthcare Practitioners and Technical,12.462853,-2.4250748
"Art, Drama, and Music Teachers, Postsecondary",Educational Instruction and Library,10.844883,-4.9697328
Astronomers,"Life, Physical, and Social Science",-13.7959385,-23.744165
Athletes and Sports Competitors,"Arts, Design, Entertainment, Sports, and Media",51.4961,-39.41889
Athletic Trainers,Healthcare Practitioners and Technical,33.691586,-6.531808
Atmospheric and Space Scientists,"Life, Physical, and Social Science",19.844215,19.569374
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Educational Instruction and Library,0.36414778,-13.012856
Audio and Video Technicians,"Arts, Design, Entertainment, Sports, and Media",10.138444,16.518406
Audiologists,Healthcare Practitioners and Technical,14.11251,-11.053551
Audiovisual Equipment Installers and Repairers,"Installation, Maintenance, and Repair",-32.929962,-16.013699
Automotive and Watercraft Service Attendants,Transportation and Material Moving,36.043827,-13.701469
Automotive Body and Related Repairers,"Installation, Maintenance, and Repair",12.584095,29.84227
Automotive Engineering Technicians,Architecture and Engineering,0.89778763,1.4564795
Automotive Engineers,Architecture and Engineering,3.8353326,3.684827
Automotive Glass Installers and Repairers,"Installation, Maintenance, and Repair",-24.830956,21.003738
Automotive Service Technicians and Mechanics,"Installation, Maintenance, and Repair",23.919739,31.378222
Aviation Inspectors,Transportation and Material Moving,-18.488676,2.6156387
Avionics Technicians,"Installation, Maintenance, and Repair",-28.832302,3.3082757
Baggage Porters and Bellhops,Personal Care and Service,-25.270811,-5.652978
Bailiffs,Protective Service,-26.65159,-27.31805
Bakers,Production,-23.709436,2.869946
Barbers,Personal Care and Service,-19.36877,-1.1958004
Baristas,Food Preparation and Serving Related,-26.530832,-7.670657
Bartenders,Food Preparation and Serving Related,-19.383928,-3.068746
Bicycle Repairers,"Installation, Maintenance, and Repair",-34.824947,-14.131971
Bill and Account Collectors,Office and Administrative Support,-15.050824,-10.011392
Billing and Posting Clerks,Office and Administrative Support,6.1094522,13.435479
Biochemists and Biophysicists,"Life, Physical, and Social Science",8.509982,1.8831053
Bioengineers and Biomedical Engineers,Architecture and Engineering,16.362246,16.363672
Biofuels Processing Technicians,Production,-15.375769,1.3853925
Biofuels Production Managers,Management,-13.484246,0.7092672
Biofuels/Biodiesel Technology and Product Development Managers,Management,-2.583297,2.4445152
Bioinformatics Scientists,"Life, Physical, and Social Science",-3.603318,-9.761732
Bioinformatics Technicians,Computer and Mathematical,-5.8840137,-9.48052
"Biological Science Teachers, Postsecondary",Educational Instruction and Library,31.537521,-6.322072
Biological Technicians,"Life, Physical, and Social Science",-2.5435746,-11.443098
Biologists,"Life, Physical, and Social Science",-1.5561221,9.770949
Biomass Plant Technicians,Production,-17.859814,7.3706965
Biomass Power Plant Managers,Management,-11.040804,4.992129
Biostatisticians,Computer and Mathematical,5.0212417,-5.3717074
Boilermakers,Construction and Extraction,-1.408081,28.907885
"Bookkeeping, Accounting, and Auditing Clerks",Office and Administrative Support,6.0170426,14.07578
Brickmasons and Blockmasons,Construction and Extraction,-25.567131,11.75025
Bridge and Lock Tenders,Transportation and Material Moving,-17.850271,3.9441369
Broadcast Announcers and Radio Disc Jockeys,"Arts, Design, Entertainment, Sports, and Media",-0.4082172,-6.0767117
Broadcast Technicians,"Arts, Design, Entertainment, Sports, and Media",9.594966,16.700537
Brokerage Clerks,Office and Administrative Support,51.4961,-39.41889
Brownfield Redevelopment Specialists and Site Managers,Management,-8.638646,-13.651026
Budget Analysts,Accountants and Auditors,-24.650862,-21.12948
Bus and Truck Mechanics and Diesel Engine Specialists,"Installation, Maintenance, and Repair",-4.134953,24.462404
"Bus Drivers, Transit and Intercity",Transportation and Material Moving,-30.952497,-18.47071
Business Continuity Planners,Accountants and Auditors,1.9376438,-0.007868072
Business Intelligence Analysts,Computer and Mathematical,-12.305792,-16.772331
"Business Teachers, Postsecondary",Educational Instruction and Library,2.2417545,-14.176775
Butchers and Meat Cutters,Production,37.28968,-13.297644
"Buyers and Purchasing Agents, Farm Products",Accountants and Auditors,-18.993896,-22.688124
Cabinetmakers and Bench Carpenters,Production,-12.691598,22.131466
Camera and Photographic Equipment Repairers,"Installation, Maintenance, and Repair",-15.6518135,11.304412
"Camera Operators, Television, Video, and Film","Arts, Design, Entertainment, Sports, and Media",-1.7017998,12.254879
